# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.3000, 0.3000, 0.3000, 1.0000, 70.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0145, 2.7636, 4.8705
0.2000, 0.2000, 0.3000, 0.8000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 2.7549, 42.4137
0.3000, 0.4000, 0.3000, 1.0000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0114, 2.8200, 47.1522
0.2000, 0.3000, 0.3000, 0.8000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0106, 2.7661, 45.0772
0.3000, 0.5000, 0.3000, 1.0000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0121, 2.9535, 51.2940
0.2000, 0.4000, 0.3000, 0.8000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0110, 2.8247, 50.2131
0.2000, 0.5000, 0.3000, 0.8000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0115, 2.9680, 48.0815
0.4000, 0.2000, 0.3000, 1.0000, 71.0000, 87.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0159, 2.7145, 5.0310
0.4000, 0.3000, 0.3000, 1.0000, 70.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0147, 2.7549, 4.8209
0.3000, 0.2000, 0.3000, 0.8000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0091, 2.7178, 35.7718
0.3000, 0.3000, 0.3000, 0.8000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0102, 2.7372, 42.3704
0.4000, 0.4000, 0.3000, 1.0000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0116, 2.8242, 46.7362
0.3000, 0.4000, 0.3000, 0.8000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0105, 2.8214, 46.4809
0.4000, 0.5000, 0.3000, 1.0000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0116, 2.9627, 42.7166
0.3000, 0.5000, 0.3000, 0.8000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0105, 2.9648, 49.5200
0.5000, 0.2000, 0.3000, 1.0000, 71.0000, 85.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0159, 2.7231, 4.9477
0.4000, 0.2000, 0.3000, 0.8000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0103, 0.0091, 2.6971, 35.5490
0.5000, 0.3000, 0.3000, 1.0000, 70.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0147, 2.7684, 4.8156
0.4000, 0.3000, 0.3000, 0.8000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0103, 2.7613, 42.4652
0.5000, 0.4000, 0.3000, 1.0000, 70.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.8131, 4.9773
