# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.4000, 0.4000, 0.1000, 0.8000, 70.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0144, 1.1869, 2.7818
0.5000, 0.5000, 0.1000, 1.0000, 70.0000, 78.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0125, 1.0841, 1.0245
0.6000, 0.2000, 0.1000, 1.0000, 71.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0096, 0.0142, 1.5052, 1.5589
0.4000, 0.5000, 0.1000, 0.8000, 70.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0146, 1.0881, 2.1054
0.6000, 0.3000, 0.1000, 1.0000, 70.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0144, 1.2018, 1.5053
0.5000, 0.2000, 0.1000, 0.8000, 71.0000, 98.0000, 0.0000, 0.0000, 1.0000, 0.0097, 0.0156, 1.4776, 3.2666
0.6000, 0.4000, 0.1000, 1.0000, 70.0000, 78.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0126, 1.1823, 1.1431
0.5000, 0.3000, 0.1000, 0.8000, 70.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0146, 1.1909, 2.7214
0.6000, 0.5000, 0.1000, 1.0000, 70.0000, 83.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0147, 1.0840, 1.6797
0.5000, 0.4000, 0.1000, 0.8000, 70.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0144, 1.1870, 2.7651
0.2000, 0.2000, 0.2000, 1.0000, 70.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0097, 0.0153, 1.5500, 1.7442
0.5000, 0.5000, 0.1000, 0.8000, 70.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0144, 1.0879, 2.8010
0.2000, 0.3000, 0.2000, 1.0000, 70.0000, 83.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0150, 1.2334, 1.8850
0.6000, 0.2000, 0.1000, 0.8000, 71.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0097, 0.0158, 1.4747, 2.9141
0.2000, 0.4000, 0.2000, 1.0000, 70.0000, 86.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 1.2074, 1.9464
0.6000, 0.3000, 0.1000, 0.8000, 70.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0146, 1.2077, 2.6936
0.6000, 0.4000, 0.1000, 0.8000, 70.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0144, 1.1866, 2.8564
0.2000, 0.5000, 0.2000, 1.0000, 70.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0150, 1.1062, 2.1501
0.6000, 0.5000, 0.1000, 0.8000, 70.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0144, 1.0878, 2.7820
0.3000, 0.2000, 0.2000, 1.0000, 70.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0097, 0.0149, 1.5477, 1.6133
0.2000, 0.2000, 0.2000, 0.8000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0097, 0.0105, 1.5611, 25.6333
0.3000, 0.3000, 0.2000, 1.0000, 70.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0150, 1.2326, 1.5961
0.2000, 0.3000, 0.2000, 0.8000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0115, 1.2457, 32.6577
0.3000, 0.4000, 0.2000, 1.0000, 70.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0148, 1.2068, 1.6038
0.2000, 0.4000, 0.2000, 0.8000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0115, 1.2179, 40.4934
0.3000, 0.5000, 0.2000, 1.0000, 70.0000, 83.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0148, 1.1056, 1.6917
0.2000, 0.5000, 0.2000, 0.8000, 70.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0115, 1.1159, 44.7942
0.4000, 0.2000, 0.2000, 1.0000, 70.0000, 83.0000, 0.0000, 0.0000, 0.0000, 0.0097, 0.0156, 1.5462, 1.5467
0.3000, 0.2000, 0.2000, 0.8000, 70.0000, 101.0000, 0.0000, 0.0000, 1.0000, 0.0097, 0.0159, 1.5589, 3.6752
0.4000, 0.3000, 0.2000, 1.0000, 70.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0149, 1.2324, 1.5944
0.3000, 0.3000, 0.2000, 0.8000, 70.0000, 83.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0151, 1.2451, 3.1862
0.4000, 0.4000, 0.2000, 1.0000, 70.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0152, 1.2066, 1.5310
0.3000, 0.4000, 0.2000, 0.8000, 70.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0146, 1.2175, 2.8547
0.4000, 0.5000, 0.2000, 1.0000, 70.0000, 79.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0131, 1.1054, 1.0797
