# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.4000, 0.4000, 0.5000, 0.8000, 63.0000, 75.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0159, 2.3905, 3.0581
0.4000, 0.5000, 0.5000, 0.8000, 63.0000, 76.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0159, 2.3174, 3.1880
0.5000, 0.2000, 0.5000, 0.8000, 64.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0106, 0.0168, 2.5488, 4.3559
0.5000, 0.3000, 0.5000, 0.8000, 63.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0089, 0.0167, 2.3147, 3.3979
0.5000, 0.4000, 0.5000, 0.8000, 63.0000, 75.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0159, 2.3903, 3.0219
0.5000, 0.5000, 0.5000, 0.8000, 63.0000, 76.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0163, 2.3051, 2.9901
0.6000, 0.2000, 0.5000, 0.8000, 64.0000, 90.0000, 0.0000, 0.0000, 1.0000, 0.0106, 0.0167, 2.5323, 4.4133
0.6000, 0.3000, 0.5000, 0.8000, 63.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0168, 2.3364, 3.4283
0.6000, 0.4000, 0.5000, 0.8000, 63.0000, 75.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0159, 2.3903, 2.9964
0.6000, 0.5000, 0.5000, 0.8000, 63.0000, 76.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0161, 2.3050, 2.9257
0.2000, 0.2000, 0.1000, 1.0000, 64.0000, 75.0000, 0.0000, 0.0000, 0.0000, 0.0107, 0.0139, 2.4709, 2.6430
0.2000, 0.3000, 0.1000, 1.0000, 63.0000, 73.0000, 0.0000, 0.0000, 0.0000, 0.0089, 0.0130, 2.2566, 2.5812
0.2000, 0.4000, 0.1000, 1.0000, 63.0000, 74.0000, 0.0000, 0.0000, 0.0000, 0.0088, 0.0130, 2.3365, 2.6777
0.2000, 0.5000, 0.1000, 1.0000, 63.0000, 83.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0146, 2.2604, 3.7197
0.3000, 0.2000, 0.1000, 1.0000, 64.0000, 79.0000, 0.0000, 0.0000, 0.0000, 0.0107, 0.0153, 2.4709, 2.7661
0.2000, 0.2000, 0.1000, 0.8000, 64.0000, 96.0000, 0.0000, 0.0000, 1.0000, 0.0107, 0.0158, 2.4377, 5.4441
0.3000, 0.3000, 0.1000, 1.0000, 63.0000, 72.0000, 0.0000, 0.0000, 0.0000, 0.0089, 0.0115, 2.2566, 2.4578
0.2000, 0.3000, 0.1000, 0.8000, 63.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0089, 0.0155, 2.2654, 3.4729
0.3000, 0.4000, 0.1000, 1.0000, 63.0000, 72.0000, 0.0000, 0.0000, 0.0000, 0.0088, 0.0113, 2.3365, 2.3404
0.3000, 0.5000, 0.1000, 1.0000, 63.0000, 72.0000, 0.0000, 0.0000, 0.0000, 0.0088, 0.0115, 2.2604, 2.1726
0.2000, 0.4000, 0.1000, 0.8000, 63.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0157, 2.3453, 3.6099
0.4000, 0.2000, 0.1000, 1.0000, 64.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0107, 0.0153, 2.4709, 2.7341
0.2000, 0.5000, 0.1000, 0.8000, 63.0000, 77.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0156, 2.2668, 3.3471
0.4000, 0.3000, 0.1000, 1.0000, 63.0000, 72.0000, 0.0000, 0.0000, 0.0000, 0.0089, 0.0113, 2.2566, 2.4612
0.3000, 0.2000, 0.1000, 0.8000, 64.0000, 78.0000, 0.0000, 0.0000, 1.0000, 0.0107, 0.0154, 2.5060, 3.0801
0.4000, 0.4000, 0.1000, 1.0000, 63.0000, 72.0000, 0.0000, 0.0000, 0.0000, 0.0088, 0.0115, 2.3365, 2.1959
0.3000, 0.3000, 0.1000, 0.8000, 63.0000, 73.0000, 0.0000, 0.0000, 1.0000, 0.0089, 0.0146, 2.2627, 2.7463
0.4000, 0.5000, 0.1000, 1.0000, 63.0000, 72.0000, 0.0000, 0.0000, 0.0000, 0.0088, 0.0110, 2.2604, 2.1735
0.3000, 0.4000, 0.1000, 0.8000, 63.0000, 76.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0148, 2.3447, 3.3776
0.5000, 0.2000, 0.1000, 1.0000, 64.0000, 74.0000, 0.0000, 0.0000, 0.0000, 0.0107, 0.0136, 2.4770, 2.5194
0.3000, 0.5000, 0.1000, 0.8000, 63.0000, 76.0000, 0.0000, 0.0000, 1.0000, 0.0088, 0.0153, 2.2668, 2.8334
0.5000, 0.3000, 0.1000, 1.0000, 63.0000, 72.0000, 0.0000, 0.0000, 0.0000, 0.0089, 0.0112, 2.2566, 2.4366
0.4000, 0.2000, 0.1000, 0.8000, 64.0000, 84.0000, 0.0000, 0.0000, 1.0000, 0.0107, 0.0158, 2.4044, 4.0135
0.5000, 0.4000, 0.1000, 1.0000, 63.0000, 72.0000, 0.0000, 0.0000, 0.0000, 0.0088, 0.0113, 2.3365, 2.1966
