# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.4000, 0.3000, 0.2000, 0.6500, 71.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0107, 0.0147, 4.2142, 5.8163
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.8000, 0.6000, 0.5000, 1.1000, 69.0000, 90.0000, 0.0000, 1.0000, 1.0000, 0.0088, 0.0146, 4.4289, 5.1410
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.8000, 0.6000, 0.5000, 1.1000, 69.0000, 90.0000, 0.0000, 1.0000, 1.0000, 0.0088, 0.0146, 4.4289, 5.1410
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
0.8000, 0.6000, 0.5000, 1.1000, 69.0000, 90.0000, 0.0000, 1.0000, 1.0000, 0.0088, 0.0146, 4.4289, 5.1410
0.4000, 0.4000, 0.3000, 0.8000, 70.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0147, 4.3378, 5.5060
